"customerkey","geographykey","customeralternatekey","customer_name","age","email_id","yearlyincome","address","phone","datefirstpurchase"
11000,26,"AW00011000","Jon V Yang","52","jon24@adventure-works.com","90000.00","3761 N. 14th St","1 (11) 500 555-0162","2020-01-19"
11001,37,"AW00011001","Eugene L Huang","47","eugene10@adventure-works.com","60000.00","2243 W St.","1 (11) 500 555-0110","2020-01-15"
11002,31,"AW00011002","Ruben   Torres","53","ruben35@adventure-works.com","60000.00","5844 Linden Land","1 (11) 500 555-0184","2020-01-07"
11003,11,"AW00011003","Christy   Zhu","50","christy12@adventure-works.com","70000.00","1825 Village Pl.","1 (11) 500 555-0162","2019-12-29"
11004,19,"AW00011004","Elizabeth   Johnson","44","elizabeth5@adventure-works.com","80000.00","7553 Harness Circle","1 (11) 500 555-0131","2020-01-23"
11005,22,"AW00011005","Julio   Ruiz","47","julio1@adventure-works.com","70000.00","7305 Humphrey Drive","1 (11) 500 555-0151","2019-12-30"
11006,8,"AW00011006","Janet G Alvarez","47","janet9@adventure-works.com","70000.00","2612 Berry Dr","1 (11) 500 555-0184","2020-01-24"
11007,40,"AW00011007","Marco   Mehta","54","marco14@adventure-works.com","60000.00","942 Brook Street","1 (11) 500 555-0126","2020-01-09"
11008,32,"AW00011008","Rob   Verhoff","48","rob4@adventure-works.com","60000.00","624 Peabody Road","1 (11) 500 555-0164","2020-01-25"
11009,25,"AW00011009","Shannon C Carlson","54","shannon38@adventure-works.com","70000.00","3839 Northgate Road","1 (11) 500 555-0110","2020-01-27"
11010,22,"AW00011010","Jacquelyn C Suarez","54","jacquelyn20@adventure-works.com","70000.00","7800 Corrinne Court","1 (11) 500 555-0169","2020-01-14"
11011,22,"AW00011011","Curtis   Lu","54","curtis9@adventure-works.com","60000.00","1224 Shoenic","1 (11) 500 555-0117","2019-12-30"
11012,611,"AW00011012","Lauren M Walker","45","lauren41@adventure-works.com","100000.00","4785 Scott Street","717-555-0164","2022-03-16"
11013,543,"AW00011013","Ian M Jenkins","44","ian47@adventure-works.com","100000.00","7902 Hudson Ave.","817-555-0185","2022-04-13"
11014,634,"AW00011014","Sydney   Bennett","50","sydney23@adventure-works.com","100000.00","9011 Tank Drive","431-555-0156","2022-03-23"
11015,301,"AW00011015","Chloe   Young","39","chloe23@adventure-works.com","30000.00","244 Willow Pass Road","208-555-0142","2022-01-18"
11016,329,"AW00011016","Wyatt L Hill","39","wyatt32@adventure-works.com","30000.00","9666 Northridge Ct.","135-555-0171","2022-02-09"
11017,39,"AW00011017","Shannon   Wang","74","shannon1@adventure-works.com","20000.00","7330 Saddlehill Lane","1 (11) 500 555-0195","2020-01-12"
11018,32,"AW00011018","Clarence D Rai","68","clarence32@adventure-works.com","30000.00","244 Rivewview","1 (11) 500 555-0137","2020-01-17"
11019,52,"AW00011019","Luke L Lal","40","luke18@adventure-works.com","40000.00","7832 Landing Dr","262-555-0112","2022-02-12"
11020,53,"AW00011020","Jordan C King","40","jordan73@adventure-works.com","40000.00","7156 Rose Dr.","550-555-0163","2021-12-29"
11021,536,"AW00011021","Destiny   Wilson","40","destiny7@adventure-works.com","40000.00","8148 W. Lake Dr.","622-555-0158","2022-01-23"
11022,609,"AW00011022","Ethan G Zhang","40","ethan20@adventure-works.com","40000.00","1769 Nicholas Drive","589-555-0185","2022-01-20"
11023,298,"AW00011023","Seth M Edwards","40","seth46@adventure-works.com","40000.00","4499 Valley Crest","452-555-0188","2022-02-17"
11024,311,"AW00011024","Russell   Xie","40","russell7@adventure-works.com","60000.00","8734 Oxford Place","746-555-0186","2022-06-27"
11025,24,"AW00011025","Alejandro   Beck","72","alejandro45@adventure-works.com","10000.00","2596 Franklin Canyon Road","1 (11) 500 555-0178","2020-01-06"
11026,4,"AW00011026","Harold   Sai","72","harold3@adventure-works.com","30000.00","8211 Leeds Ct.","1 (11) 500 555-0131","2020-01-23"
11027,40,"AW00011027","Jessie R Zhao","71","jessie16@adventure-works.com","30000.00","213 Valencia Place","1 (11) 500 555-0184","2020-01-16"
11028,17,"AW00011028","Jill   Jimenez","72","jill13@adventure-works.com","30000.00","9111 Rose Ann Ave","1 (11) 500 555-0116","2020-01-26"
11029,32,"AW00011029","Jimmy L Moreno","71","jimmy9@adventure-works.com","30000.00","6385 Mark Twain","1 (11) 500 555-0146","2020-01-19"
11030,28,"AW00011030","Bethany G Yuan","66","bethany10@adventure-works.com","10000.00","636 Vine Hill Way","1 (11) 500 555-0182","2020-02-05"
11031,8,"AW00011031","Theresa G Ramos","71","theresa13@adventure-works.com","20000.00","6465 Detroit Ave.","1 (11) 500 555-0195","2020-02-01"
11032,35,"AW00011032","Denise   Stone","71","denise10@adventure-works.com","20000.00","626 Bentley Street","1 (11) 500 555-0169","2020-02-18"
11033,9,"AW00011033","Jaime   Nath","65","jaime41@adventure-works.com","20000.00","5927 Rainbow Dr","1 (11) 500 555-0137","2020-02-15"
11034,12,"AW00011034","Ebony   Gonzalez","71","ebony19@adventure-works.com","20000.00","5167 Condor Place","1 (11) 500 555-0136","2020-02-01"
11035,33,"AW00011035","Wendy   Dominguez","70","wendy12@adventure-works.com","10000.00","1873 Mt. Whitney Dr","1 (11) 500 555-0177","2020-02-06"
11036,343,"AW00011036","Jennifer C Russell","39","jennifer93@adventure-works.com","60000.00","3981 Augustine Drive","115-555-0183","2022-01-22"
11037,49,"AW00011037","Chloe M Garcia","40","chloe27@adventure-works.com","40000.00","8915 Woodside Way","229-555-0112","2022-01-20"
11038,6,"AW00011038","Diana F Hernandez","70","diana2@adventure-works.com","10000.00","8357 Sandy Cove Lane","1 (11) 500 555-0114","2020-02-07"
11039,19,"AW00011039","Marc J Martin","69","marc3@adventure-works.com","30000.00","9353 Creekside Dr.","1 (11) 500 555-0183","2020-02-07"
11040,642,"AW00011040","Jesse   Murphy","41","jesse15@adventure-works.com","30000.00","3350 Kingswood Circle","961-555-0176","2022-04-03"
11041,325,"AW00011041","Amanda M Carter","41","amanda53@adventure-works.com","60000.00","5826 Escobar","295-555-0145","2022-01-14"
11042,338,"AW00011042","Megan J Sanchez","41","megan28@adventure-works.com","70000.00","1397 Paraiso Ct.","404-555-0199","2022-01-21"
11043,325,"AW00011043","Nathan M Simmons","42","nathan11@adventure-works.com","60000.00","1170 Shaw Rd","296-555-0181","2022-05-08"
11044,25,"AW00011044","Adam L Flores","69","adam10@adventure-works.com","20000.00","6935 Candle Dr","1 (11) 500 555-0163","2020-02-28"
11045,8,"AW00011045","Leonard G Nara","68","leonard18@adventure-works.com","30000.00","7466 La Vista Ave.","1 (11) 500 555-0151","2022-04-10"
